target,feature,n,covariance,abs_covariance,feature_mean,target_mean,feature_std,target_std
in_signed_error,roi_flow_active_ratio_max,3822,-0.1538900350250037,0.1538900350250037,0.2127856989648871,1.1570952347909114e-13,0.236152669230984,22.135035602693243
in_signed_error,direction_balance_abs_min,2515,0.1519593270527711,0.1519593270527711,0.20924622143577448,-2.4789391898189286,0.36827098807478037,25.565232364216516
in_signed_error,roi_flow_mag_mean_p10,3822,0.15150809443423038,0.15150809443423038,0.20254489686178487,1.1570952347909114e-13,0.2982654995993568,22.135035602693243
in_signed_error,roi_dark_ratio_max,3822,0.1496745156865741,0.1496745156865741,0.1982541864929292,1.1570952347909114e-13,0.3543113993286891,22.135035602693243
in_signed_error,in_flux_share_max,2515,-0.1437616722074649,0.1437616722074649,0.9738676211325688,-2.4789391898189286,0.1573181511377699,25.565232364216516
in_signed_error,out_flux_share_min,2515,0.1437616722074649,0.1437616722074649,0.026132378867431232,-2.4789391898189286,0.1573181511377699,25.565232364216516
in_signed_error,band_normal_abs_mean_min,3822,0.1329427568490517,0.1329427568490517,0.03853478834937108,1.1570952347909114e-13,0.0619779022936288,22.135035602693243
in_signed_error,entrance_dark_ratio_p90,3822,-0.1324097280537114,0.1324097280537114,0.21551411514022858,1.1570952347909114e-13,0.36139938328603827,22.135035602693243
in_signed_error,band_direction_entropy_std,3822,-0.12718170059926248,0.12718170059926248,0.10766009651854995,1.1570952347909114e-13,0.0457682849680739,22.135035602693243
in_signed_error,filtered_candidate_ratio_band_mean,3822,0.1250001829792474,0.1250001829792474,0.06404749000112528,1.1570952347909114e-13,0.1115393238696716,22.135035602693243
in_signed_error,entrance_dark_ratio_p50,3822,0.12067627809593237,0.12067627809593237,0.18910178255451363,1.1570952347909114e-13,0.35465153793444043,22.135035602693243
in_signed_error,candidate_direction_entropy_min,3222,0.11715201294243784,0.11715201294243784,0.016074575620728743,-1.0965772065488468,0.06018893811911034,23.645095161814144
in_signed_error,raw_candidate_ratio_band_p10,3822,0.11685415845068337,0.11685415845068337,0.03117612019045486,1.1570952347909114e-13,0.0763901221897659,22.135035602693243
in_signed_error,entrance_dark_ratio_mean,3822,0.11345585193446338,0.11345585193446338,0.19177170612553102,1.1570952347909114e-13,0.353338319119443,22.135035602693243
in_signed_error,filtered_candidate_ratio_band_p10,3822,0.1082930659965875,0.1082930659965875,0.019807296418554464,1.1570952347909114e-13,0.058053169908193494,22.135035602693243
in_signed_error,band_direction_entropy_p90,3822,0.10480034459580409,0.10480034459580409,0.9147370521765228,1.1570952347909114e-13,0.040235240714705134,22.135035602693243
