case,feature,n,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
total_low_flow_under,background_gray_p05_p10,259,0.13608739869336367,0.13608739869336367,0.18192653104097337,0.18192653104097337
total_low_flow_under,left_raw_candidate_pixels_max,259,-0.13596385023532503,0.13596385023532503,-0.11962917263798925,0.11962917263798925
total_low_flow_under,roi_edge_density_std,259,0.13581480563990034,0.13581480563990034,0.07848277718945304,0.07848277718945304
total_low_flow_under,filtered_candidate_component_area_mean_p50,191,-0.13529688712345497,0.13529688712345497,-0.20149951333685512,0.20149951333685512
total_low_flow_under,filtered_candidate_component_area_p50_p50,191,-0.13529688712345497,0.13529688712345497,-0.20149951333685512,0.20149951333685512
total_low_flow_under,roi_gray_p50_max,259,0.13487833311062025,0.13487833311062025,0.21923934112359955,0.21923934112359955
total_low_flow_under,roi_flow_mag_mean_p90,259,0.13469171899118987,0.13469171899118987,0.025955807645688046,0.025955807645688046
total_low_flow_under,roi_tenengrad_mean_std,259,-0.13453182254448065,0.13453182254448065,-0.19928864828020545,0.19928864828020545
total_low_flow_under,entrance_gray_p95_max,259,0.13327413510430675,0.13327413510430675,0.1810658179797608,0.1810658179797608
total_low_flow_under,filtered_candidate_component_area_p90_p90,191,-0.13309668353878729,0.13309668353878729,-0.19674039731367823,0.19674039731367823
total_low_flow_under,background_gray_p05_p50,259,0.13283698761481352,0.13283698761481352,0.21853793824839113,0.21853793824839113
total_low_flow_under,roi_gray_mean_p90,259,0.1324725993072046,0.1324725993072046,0.21724891508376132,0.21724891508376132
total_low_flow_under,raw_candidate_component_area_p90_max,245,-0.13215995193893973,0.13215995193893973,-0.13504267297148612,0.13504267297148612
total_low_flow_under,raw_candidate_component_area_p50_mean,245,-0.1318921496275777,0.1318921496275777,-0.22607184276489206,0.22607184276489206
total_low_flow_under,filtered_candidate_component_area_p90_p50,191,-0.13153648051922243,0.13153648051922243,-0.20053227387411923,0.20053227387411923
total_low_flow_under,roi_gray_p05_p90,259,0.13152872359028206,0.13152872359028206,0.21627694735667663,0.21627694735667663
total_low_flow_under,filtered_candidate_component_area_mean_p90,191,-0.1311330422531666,0.1311330422531666,-0.19535054743726438,0.19535054743726438
total_low_flow_under,raw_candidate_component_area_p90_p50,245,-0.1309950178029884,0.1309950178029884,-0.1479656721883656,0.1479656721883656
