target,feature,n,n_raw,outlier_filter,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
out_signed_error,filtered_candidate_pixels_p10,3104,3822,iqr,0.030637257654680426,0.030637257654680426,0.02404668940288034,0.02404668940288034
out_signed_error,filtered_candidate_component_area_sum_p10,3104,3822,iqr,0.030637257654680426,0.030637257654680426,0.02404668940288034,0.02404668940288034
out_signed_error,filtered_candidate_component_area_ratio_p10,3104,3822,iqr,0.030237652799737138,0.030237652799737138,0.024069644996446968,0.024069644996446968
out_signed_error,roi_edge_density_p90,3028,3822,iqr,0.030180455328543097,0.030180455328543097,-0.0008985636566512841,0.0008985636566512841
out_signed_error,left_raw_out_flux_p90,2804,3822,iqr,-0.030025654155184732,0.030025654155184732,-0.08184968588253537,0.08184968588253537
out_signed_error,persistent_candidate_pixels_p10,3104,3822,iqr,0.029870984911526826,0.029870984911526826,0.017474402463797903,0.017474402463797903
out_signed_error,filtered_candidate_ratio_band_p10,3104,3822,iqr,0.02955571257165406,0.02955571257165406,0.024085818607983027,0.024085818607983027
out_signed_error,raw_candidate_pixels_min,3104,3822,iqr,0.02951554345330558,0.02951554345330558,0.05114582615530632,0.05114582615530632
out_signed_error,raw_candidate_component_area_sum_min,3104,3822,iqr,0.02951554345330558,0.02951554345330558,0.05114582615530632,0.05114582615530632
out_signed_error,roi_tenengrad_mean_p90,3077,3822,iqr,0.02927115316743697,0.02927115316743697,-0.017365356046018684,0.017365356046018684
out_signed_error,entrance_saturation_mean_mean,2675,3822,iqr,0.029207936806360885,0.029207936806360885,-0.014789368219571903,0.014789368219571903
out_signed_error,raw_candidate_component_count_min,3104,3822,iqr,0.029169110537417022,0.029169110537417022,0.05116428796199484,0.05116428796199484
out_signed_error,roi_bright_ratio_mean,2397,3822,iqr,0.02913094743898106,0.02913094743898106,-0.012082214240820498,0.012082214240820498
out_signed_error,raw_candidate_ratio_band_min,3104,3822,iqr,0.028920677304195747,0.028920677304195747,0.05114852079102677,0.05114852079102677
out_signed_error,roi_value_mean_min,3104,3822,iqr,-0.02859791438099846,0.02859791438099846,-0.030529725908683178,0.030529725908683178
out_signed_error,background_gray_entropy_max,2648,3822,iqr,-0.02841517333205359,0.02841517333205359,-0.033588407857547395,0.033588407857547395
out_signed_error,top_raw_in_flux_p10,3104,3822,iqr,0.028260514465416237,0.028260514465416237,0.024111157808148105,0.024111157808148105
out_signed_error,roi_gray_p05_p10,2792,3822,iqr,-0.028241092773175068,0.028241092773175068,-0.04983679419429722,0.04983679419429722
out_signed_error,bottom_filtered_candidate_pixels_p50,3104,3822,iqr,0.028059136828980143,0.028059136828980143,0.023070136641069175,0.023070136641069175
out_signed_error,right_raw_candidate_pixels_min,3104,3822,iqr,0.02793622022752494,0.02793622022752494,0.029945082176710918,0.029945082176710918
out_signed_error,direction_balance_abs_std,2209,2515,iqr,-0.027339872301083756,0.027339872301083756,0.00732881472445214,0.00732881472445214
out_signed_error,raw_component_count_p10,3104,3822,iqr,0.02721918033225831,0.02721918033225831,0.01979265859431931,0.01979265859431931
out_signed_error,roi_saturation_mean_max,2969,3822,iqr,0.027175149362979083,0.027175149362979083,-0.005408961730918291,0.005408961730918291
out_signed_error,right_raw_out_flux_p10,3104,3822,iqr,0.027098014330755094,0.027098014330755094,0.0165088055740865,0.0165088055740865
out_signed_error,top_raw_candidate_pixels_p10,3104,3822,iqr,0.026978782067323716,0.026978782067323716,0.047145733107044445,0.047145733107044445
out_signed_error,bottom_filtered_candidate_pixels_p10,3104,3822,iqr,0.026584416131057352,0.026584416131057352,0.04520199574464607,0.04520199574464607
out_signed_error,filtered_candidate_component_count_p10,3104,3822,iqr,0.02655679221646113,0.02655679221646113,0.024556616554555065,0.024556616554555065
out_signed_error,valid_component_count_p10,3104,3822,iqr,0.02655679221646113,0.02655679221646113,0.024556616554555065,0.024556616554555065
out_signed_error,in_flux_share_min,2209,2515,iqr,0.026337837647788388,0.026337837647788388,0.047047520206063,0.047047520206063
out_signed_error,out_flux_share_max,2209,2515,iqr,-0.026337837647788066,0.026337837647788066,-0.047047520206063,0.047047520206063
out_signed_error,roi_saturation_mean_p90,3032,3822,iqr,0.02626129747415755,0.02626129747415755,-0.0049805028147647794,0.0049805028147647794
out_signed_error,background_bright_ratio_max,2437,3822,iqr,0.026081297197009995,0.026081297197009995,0.009004320655452105,0.009004320655452105
out_signed_error,top_filtered_in_flux_p50,3104,3822,iqr,0.026080485538339335,0.026080485538339335,0.019554977000301104,0.019554977000301104
